mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:prallprall
29	29	115	115	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	287									
30	30	116	116	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	288									
30	30	117	117	0.25		1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	289									
30	30	469/4	469/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	290									
30	30	235/2	235/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	291									
30	30	471/4	471/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	292									
30	30	118	118	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	293									
30	30	119	119	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	294									
30	30	477/4	477/4	0.25		13/16	13/16	Chord	2/2	1	1	1/16		1/16	1	295									
30	30	239/2	239/2	0.25		7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	296									
30	30	479/4	479/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	297									
30	30	116	116	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	298									
30	30	118	118	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	299									
30	30	116	116	1.0		0	0	Chord	2/2	2	2	1/4		1/4	1	300									
30	30	117	117	1.0		1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	301									
30	30	118	118	1.0		1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	302									
30	30	119	119	1.0		3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	303									
31	31	120	120	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	304									
31	31	121	121	0.25		1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	305									
31	31	485/4	485/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	306									
31	31	243/2	243/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	307									
31	31	487/4	487/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	308									
31	31	122	122	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	309									
31	31	123	123	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	310									
31	31	493/4	493/4	0.25		13/16	13/16	Chord	2/2	1	1	1/16		1/16	1	311									
31	31	247/2	247/2	0.25		7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	312									
31	31	495/4	495/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	313									
31	31	120	120	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	314									
31	31	122	122	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	315									
31	31	120	120	1.0		0	0	Chord	2/2	2	2	1/4		1/4	1	316									
31	31	121	121	1.0		1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	317									
31	31	122	122	1.0		1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	318									
31	31	123	123	1.0		3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	319									
32	32	124	124	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	320									
32	32	125	125	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	321									
32	32	126	126	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	322									
32	32	379/3	379/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	323									
32	32	380/3	380/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	324									
32	32	127	127	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	325									
32	32	382/3	382/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	326									
32	32	383/3	383/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	327									
32	32	124	124	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	328									
32	32	127	127	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	329									
33	33	128	128	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	330									
33	33	385/3	385/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	331									
33	33	386/3	386/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	332									
33	33	129	129	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	333									
33	33	388/3	388/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	334									
33	33	389/3	389/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	335									
33	33	130	130	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	336									
33	33	391/3	391/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	337									
33	33	392/3	392/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	338									
33	33	131	131	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	339									
33	33	394/3	394/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	340									
33	33	395/3	395/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	341									
33	33	128	128	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	342									
33	33	129	129	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	343									
33	33	130	130	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	344									
33	33	131	131	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	345									
34	34	132	132	1.5		0	0	Chord	2/2	1	1	3/8		1/4	3/2	346	ornamentTrill								
34	34	267/2	267/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	347									
34	34	134	134	1.5		1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	348	ornamentTrill								
34	34	271/2	271/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	349									
34	34	132	132	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	350									
34	34	133	133	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	351									
34	34	134	134	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	352									
34	34	135	135	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	353									
35	35	136	136	1.5		0	0	Chord	2/2	1	1	3/8		1/4	3/2	354	ornamentTrill								
35	35	275/2	275/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	355									
35	35	138	138	1.5		1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	356	ornamentTrill								
35	35	279/2	279/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	357									
35	35	136	136	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	358									
35	35	138	138	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	359									
35	35	136	136	1.0		0	0	Chord	2/2	2	2	1/4		1/4	1	360									
35	35	137	137	1.0		1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	361									
35	35	138	138	1.0		1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	362									
35	35	139	139	1.0		3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	363									
36	36	140	140	1.5		0	0	Chord	2/2	1	1	3/8		1/4	3/2	364	ornamentTrill								
36	36	283/2	283/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	365									
36	36	142	142	1.5		1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	366	ornamentTrill								
36	36	287/2	287/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	367									
36	36	140	140	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	368									
36	36	142	142	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	369									
36	36	140	140	1.0		0	0	Chord	2/2	2	2	1/4		1/4	1	370									
36	36	141	141	1.0		1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	371									
36	36	142	142	1.0		1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	372									
36	36	143	143	1.0		3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	373									
37	37	144	144	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	374									
37	37	145	145	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	375									
37	37	146	146	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	376									
37	37	439/3	439/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	377									
37	37	440/3	440/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	378									
37	37	147	147	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	379									
37	37	442/3	442/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	380									
37	37	443/3	443/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	381									
37	37	144	144	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	382									
37	37	147	147	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	383									
38	38	148	148	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	384									
38	38	445/3	445/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	385									
38	38	446/3	446/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	386									
38	38	149	149	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	387									
38	38	448/3	448/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	388									
38	38	449/3	449/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	389									
38	38	150	150	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	390									
38	38	451/3	451/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	391									
38	38	452/3	452/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	392									
38	38	151	151	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	393									
38	38	454/3	454/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	394									
38	38	455/3	455/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	395									
38	38	148	148	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	396									
38	38	149	149	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	397									
38	38	150	150	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	398									
38	38	151	151	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	399									
39	39	617/4	617/4	0.25		9/16	9/16	Chord	2/2	1	1	1/16		1/16	1	400									
39	39	309/2	309/2	0.25		5/8	5/8	Chord	2/2	1	1	1/16		1/16	1	401									
39	39	619/4	619/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	402									
39	39	152	152	0.25		0	0	Chord	2/2	2	1	1/16		1/16	1	403									
39	39	609/4	609/4	0.25		1/16	1/16	Chord	2/2	2	1	1/16		1/16	1	404								0	
39	39	305/2	305/2	0.25		1/8	1/8	Chord	2/2	2	1	1/16		1/16	1	405								0	
39	39	611/4	611/4	0.25		3/16	3/16	Chord	2/2	2	1	1/16		1/16	1	406								0	
39	39	153	153	0.25		1/4	1/4	Chord	2/2	2	1	1/16		1/16	1	407								0	
39	39	613/4	613/4	0.25		5/16	5/16	Chord	2/2	2	1	1/16		1/16	1	408								0	
39	39	307/2	307/2	0.25		3/8	3/8	Chord	2/2	2	1	1/16		1/16	1	409								0	
39	39	615/4	615/4	0.25		7/16	7/16	Chord	2/2	2	1	1/16		1/16	1	410								0	
40	40	157	157	0.0		1/4	1/4	Chord	2/2	1	1	0	grace32	1/32	1	411									
40	40	157	157	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	412									
40	40	158	158	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	413									
40	40	475/3	475/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	414									
40	40	476/3	476/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	415									
40	40	159	159	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	416									
40	40	478/3	478/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	417									
40	40	479/3	479/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	418									
40	40	157	157	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	419									
40	40	158	158	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	420									
40	40	159	159	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	421									
41	41	162	162	0.25		1/2	1/2	Chord	2/2	1	1	1/16		1/16	1	422									
41	41	649/4	649/4	0.25		9/16	9/16	Chord	2/2	1	1	1/16		1/16	1	423									
41	41	325/2	325/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	424									
41	41	160	160	0.25		0	0	Chord	2/2	2	1	1/16		1/16	1	425									
41	41	641/4	641/4	0.25		1/16	1/16	Chord	2/2	2	1	1/16		1/16	1	426								1	
41	41	321/2	321/2	0.25		1/8	1/8	Chord	2/2	2	1	1/16		1/16	1	427								1	
41	41	643/4	643/4	0.25		3/16	3/16	Chord	2/2	2	1	1/16		1/16	1	428								1	
41	41	161	161	0.25		1/4	1/4	Chord	2/2	2	1	1/16		1/16	1	429								1	
41	41	645/4	645/4	0.25		5/16	5/16	Chord	2/2	2	1	1/16		1/16	1	430								1	
41	41	323/2	323/2	0.25		3/8	3/8	Chord	2/2	2	1	1/16		1/16	1	431								1	
41	41	647/4	647/4	0.25		7/16	7/16	Chord	2/2	2	1	1/16		1/16	1	432									
42	42	165	165	0.0		1/4	1/4	Chord	2/2	1	1	0	grace16	1/32	1	433									
42	42	165	165	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	434									
42	42	166	166	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	435									
42	42	499/3	499/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	436									
42	42	500/3	500/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	437									
42	42	167	167	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	438									
42	42	502/3	502/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	439									
42	42	503/3	503/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	440									
42	42	165	165	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	441									
42	42	166	166	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	442									
42	42	167	167	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	443									
43	43	170	170	0.25		1/2	1/2	Chord	2/2	1	1	1/16		1/16	1	444									
43	43	681/4	681/4	0.125		9/16	9/16	Chord	2/2	1	1	1/32		1/32	1	445									
43	43	1363/8	1363/8	0.125		19/32	19/32	Chord	2/2	1	1	1/32		1/32	1	446									
43	43	341/2	341/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	447									
43	43	168	168	0.25		0	0	Chord	2/2	2	1	1/16		1/16	1	448									
43	43	673/4	673/4	0.25		1/16	1/16	Chord	2/2	2	1	1/16		1/16	1	449								2	
43	43	337/2	337/2	0.25		1/8	1/8	Chord	2/2	2	1	1/16		1/16	1	450								2	
43	43	675/4	675/4	0.25		3/16	3/16	Chord	2/2	2	1	1/16		1/16	1	451								2	
43	43	169	169	0.25		1/4	1/4	Chord	2/2	2	1	1/16		1/16	1	452								2	
43	43	677/4	677/4	0.25		5/16	5/16	Chord	2/2	2	1	1/16		1/16	1	453								2	
43	43	339/2	339/2	0.25		3/8	3/8	Chord	2/2	2	1	1/16		1/16	1	454								2	
43	43	679/4	679/4	0.25		7/16	7/16	Chord	2/2	2	1	1/16		1/16	1	455									
44	44	173	173	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	456									
44	44	174	174	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	457									
44	44	523/3	523/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	458									
44	44	524/3	524/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	459									
44	44	175	175	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	460									
44	44	526/3	526/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	461									
44	44	527/3	527/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	462									
44	44	173	173	1.0		1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	463									
44	44	174	174	1.0		1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	464									
44	44	175	175	1.0		3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	465									
44	44	173	173	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	466									
44	44	174	174	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	467									
44	44	175	175	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	468									
45	45	176	176	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	469									
45	45	529/3	529/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	470									
45	45	530/3	530/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	471									
45	45	177	177	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	472									
45	45	532/3	532/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	473									
45	45	533/3	533/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	474									
45	45	178	178	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	475									
45	45	535/3	535/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	476									
45	45	536/3	536/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	477									
45	45	179	179	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	478									
45	45	538/3	538/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	479									
45	45	539/3	539/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	480									
45	45	176	176	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	481									
45	45	177	177	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	482									
45	45	178	178	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	483									
45	45	179	179	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	484									
46	46	180	180	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	485									
46	46	541/3	541/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	486									
46	46	542/3	542/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	487									
46	46	181	181	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	488									
46	46	544/3	544/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	489									
46	46	545/3	545/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	490									
46	46	182	182	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	491									
46	46	547/3	547/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	492									
46	46	548/3	548/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	493									
46	46	183	183	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	494									
46	46	550/3	550/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	495									
46	46	551/3	551/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	496									
46	46	180	180	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	497									
46	46	181	181	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	498									
46	46	182	182	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	499									
46	46	183	183	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	500									
47	47	184	184	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	501									
47	47	553/3	553/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	502									
47	47	554/3	554/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	503									
47	47	185	185	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	504									
47	47	556/3	556/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	505									
47	47	557/3	557/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	506									
47	47	186	186	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	507									
47	47	559/3	559/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	508									
47	47	560/3	560/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	509									
47	47	187	187	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	510									
47	47	562/3	562/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	511									
47	47	563/3	563/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	512									
47	47	184	184	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	513									
47	47	185	185	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	514									
47	47	186	186	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	515									
47	47	187	187	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	516									
48	48	188	188	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	517									
48	48	565/3	565/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	518									
48	48	566/3	566/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	519									
48	48	189	189	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	520									
48	48	568/3	568/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	521									
48	48	569/3	569/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	522									
48	48	190	190	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	523									
48	48	571/3	571/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	524									
48	48	572/3	572/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	525									
48	48	191	191	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	526									
48	48	574/3	574/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	527									
48	48	575/3	575/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	528									
48	48	188	188	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	529									
48	48	189	189	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	530									
48	48	190	190	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	531									
48	48	191	191	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	532									
49	49		192	0.3333333333333333	1	0	0	Chord	2/2	1	1	1/12		1/8	2/3	533									
49	49		577/3	0.3333333333333333	1	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	534									
49	49		578/3	0.3333333333333333	1	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	535									
49	49		193	0.3333333333333333	1	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	536									
49	49		580/3	0.3333333333333333	1	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	537									
49	49		581/3	0.3333333333333333	1	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	538									
49	49		194	0.3333333333333333	1	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	539									
49	49		583/3	0.3333333333333333	1	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	540									
49	49		584/3	0.3333333333333333	1	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	541									
49	49		195	0.3333333333333333	1	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	542									
49	49		586/3	0.3333333333333333	1	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	543									
49	49		587/3	0.3333333333333333	1	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	544									
49	49		192	1.0	1	0	0	Chord	2/2	2	1	1/4		1/4	1	545									
50	50		196	0.3333333333333333	1	0	0	Chord	2/2	1	1	1/12		1/8	2/3	546									
50	50		589/3	0.3333333333333333	1	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	547									
50	50		590/3	0.3333333333333333	1	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	548									
50	50		197	0.3333333333333333	1	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	549									
50	50		592/3	0.3333333333333333	1	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	550									
50	50		593/3	0.3333333333333333	1	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	551									
50	50		198	0.5	1	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	552									
50	50		397/2	0.5	1	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	553									
50	50		199	0.5	1	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	554									
50	50		399/2	0.5	1	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	555									
51	49	193	201	0.5	2	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	556									
51	49	387/2	403/2	0.5	2	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	557									
51	49	194	202	1.0	2	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	558									
51	49	195	203	0.5	2	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	559									
51	49	391/2	407/2	0.5	2	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	560									
51	49	192	200	1.0	2	0	0	Chord	2/2	2	1	1/4		1/4	1	561									
52	50	196	204	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	562									
52	50	197	205	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	563									
52	50	395/2	411/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	564									
52	50	198	206	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	565									
