mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text
6	5	67/4	67/4	0.75	1/8	1/8	Chord	4/4	2	1	3/16		1/8	3/2	104	
6	5	35/2	35/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	105	
6	5	71/4	71/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	106	
6	5	18	18	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	107	
6	5	73/4	73/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	108	
6	5	37/2	37/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	109	
6	5	75/4	75/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	110	
6	5	19	19	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	111	
6	5	77/4	77/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	112	
6	5	79/4	79/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	113	
6	5	65/4	65/4	0.25	0	0	Chord	4/4	2	2	1/16		1/16	1	114	
6	5	33/2	33/2	0.25	1/16	1/16	Chord	4/4	2	2	1/16		1/16	1	115	
6	5	67/4	67/4	0.25	1/8	1/8	Chord	4/4	2	2	1/16		1/16	1	116	
6	5	17	17	0.25	3/16	3/16	Chord	4/4	2	2	1/16		1/16	1	117	
7	6	81/4	81/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	118	
7	6	83/4	83/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	119	
7	6	85/4	85/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	120	
7	6	87/4	87/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	121	
7	6	89/4	89/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	122	
7	6	45/2	45/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	123	
7	6	91/4	91/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	124	
7	6	23	23	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	125	
7	6	93/4	93/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	126	
7	6	95/4	95/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	127	
7	6	81/4	81/4	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	128	
7	6	41/2	41/2	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	129	
7	6	83/4	83/4	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	130	
7	6	21	21	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	131	
7	6	85/4	85/4	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	132	
7	6	43/2	43/2	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	133	
7	6	87/4	87/4	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	134	
7	6	22	22	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	135	
7	6	89/4	89/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	136	
7	6	91/4	91/4	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	137	
7	6	93/4	93/4	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	138	
7	6	47/2	47/2	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	139	
7	6	95/4	95/4	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	140	
7	6	24	24	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	141	
8	7	97/4	97/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	142	
8	7	99/4	99/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	143	
8	7	101/4	101/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	144	
8	7	103/4	103/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	145	
8	7	105/4	105/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	146	
8	7	53/2	53/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	147	
8	7	107/4	107/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	148	
8	7	27	27	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	149	
8	7	109/4	109/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	150	
8	7	111/4	111/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	151	
8	7	97/4	97/4	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	152	
8	7	49/2	49/2	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	153	
8	7	99/4	99/4	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	154	
8	7	25	25	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	155	
8	7	101/4	101/4	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	156	
8	7	51/2	51/2	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	157	
8	7	103/4	103/4	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	158	
8	7	26	26	0.0	7/16	7/16	StaffText	4/4	1	2	0					♭
8	7	26	26	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	159	
8	7	105/4	105/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	160	
8	7	107/4	107/4	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	161	
8	7	109/4	109/4	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	162	
8	7	55/2	55/2	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	163	
8	7	111/4	111/4	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	164	
8	7	28	28	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	165	
9	8	113/4	113/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	166	
9	8	115/4	115/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	167	
9	8	117/4	117/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	168	
9	8	119/4	119/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	169	
9	8	121/4	121/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	170	
9	8	123/4	123/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	171	
9	8	125/4	125/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	172	
9	8	127/4	127/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	173	
9	8	113/4	113/4	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	174	
9	8	57/2	57/2	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	175	
9	8	115/4	115/4	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	176	
9	8	29	29	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	177	
9	8	117/4	117/4	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	178	
9	8	59/2	59/2	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	179	
9	8	119/4	119/4	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	180	
9	8	30	30	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	181	
9	8	121/4	121/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	182	
9	8	61/2	61/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	183	
9	8	123/4	123/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	184	
9	8	31	31	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	185	
9	8	125/4	125/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	186	
9	8	63/2	63/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	187	
9	8	127/4	127/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	188	
9	8	32	32	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	189	
10	9	129/4	129/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	190	
10	9	131/4	131/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	191	
10	9	133/4	133/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	192	
10	9	135/4	135/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	193	
10	9	137/4	137/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	194	
10	9	139/4	139/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	195	
10	9	141/4	141/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	196	
10	9	71/2	71/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	197	
10	9	143/4	143/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	198	
10	9	36	36	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	199	
10	9	129/4	129/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	200	
10	9	65/2	65/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	201	
10	9	131/4	131/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	202	
10	9	33	33	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	203	
10	9	133/4	133/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	204	
10	9	67/2	67/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	205	
10	9	135/4	135/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	206	
10	9	34	34	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	207	
10	9	137/4	137/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	208	
10	9	69/2	69/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	209	
10	9	139/4	139/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	210	
10	9	35	35	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	211	
10	9	141/4	141/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	212	
10	9	143/4	143/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	213	
11	10	145/4	145/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	214	
11	10	73/2	73/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	215	
11	10	147/4	147/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	216	
11	10	149/4	149/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	217	
11	10	75/2	75/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	218	
11	10	151/4	151/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	219	
11	10	153/4	153/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	220	
11	10	77/2	77/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	221	
11	10	155/4	155/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	222	
11	10	39	39	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	223	
11	10	157/4	157/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	224	
11	10	79/2	79/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	225	
11	10	159/4	159/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	226	
11	10	147/4	147/4	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	227	
11	10	37	37	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	228	
11	10	149/4	149/4	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	229	
11	10	38	38	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	230	
11	10	153/4	153/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	231	
11	10	157/4	157/4	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	232	
11	10	40	40	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	233	
11	10	145/4	145/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	234	
11	10	147/4	147/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	235	
11	10	149/4	149/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	236	
11	10	151/4	151/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	237	
11	10	153/4	153/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	238	
11	10	155/4	155/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	239	
11	10	157/4	157/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	240	
11	10	159/4	159/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	241	
12	11	161/4	161/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	242	
12	11	163/4	163/4	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	243	
12	11	167/4	167/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	244	
12	11	42	42	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	245	
12	11	169/4	169/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	246	
12	11	85/2	85/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	247	
12	11	171/4	171/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	248	
12	11	43	43	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	249	
12	11	173/4	173/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	250	
12	11	87/2	87/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	251	
12	11	175/4	175/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	252	
12	11	44	44	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	253	
12	11	161/4	161/4	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	254	
12	11	81/2	81/2	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	255	
12	11	163/4	163/4	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	256	
12	11	41	41	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	257	
12	11	165/4	165/4	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	258	
12	11	83/2	83/2	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	259	
12	11	167/4	167/4	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	260	
12	11	169/4	169/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	261	
12	11	171/4	171/4	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	262	
12	11	43	43	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	263	
12	11	173/4	173/4	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	264	
12	11	87/2	87/2	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	265	
12	11	175/4	175/4	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	266	
12	11	44	44	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	267	
12	11	161/4	161/4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	268	
12	11	169/4	169/4	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	269	
13	12	177/4	177/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	270	
13	12	89/2	89/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	271	
13	12	179/4	179/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	272	
13	12	45	45	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	273	
13	12	181/4	181/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	274	
13	12	91/2	91/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	275	
13	12	183/4	183/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	276	
13	12	46	46	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	277	
13	12	185/4	185/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	278	
13	12	93/2	93/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	279	
13	12	187/4	187/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	280	
13	12	47	47	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	281	
13	12	189/4	189/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	282	
13	12	95/2	95/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	283	
13	12	191/4	191/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	284	
13	12	48	48	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	285	
