mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text
13	12	183/4	183/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	219	
13	12	46	46	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	220	
13	12	185/4	185/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	221	
13	12	93/2	93/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	222	
13	12	187/4	187/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	223	
13	12	47	47	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	224	
13	12	189/4	189/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	225	
13	12	95/2	95/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	226	
13	12	191/4	191/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	227	
13	12	48	48	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	228	
13	12	193/4	193/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	229	
13	12	97/2	97/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	230	
13	12	195/4	195/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	231	
14	13	49	49	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	232	
14	13	197/4	197/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	233	
14	13	99/2	99/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	234	
14	13	199/4	199/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	235	
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	236	
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	237	
14	13	51	51	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	238	
14	13	205/4	205/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	239	
14	13	103/2	103/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	240	
14	13	207/4	207/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	241	
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	242	
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	243	
14	13	49	49	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	244	
14	13	197/4	197/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	245	
14	13	99/2	99/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	246	
14	13	199/4	199/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	247	
14	13	50	50	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	248	
14	13	201/4	201/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	249	
14	13	101/2	101/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	250	
14	13	203/4	203/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	251	
14	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	252	
14	13	209/4	209/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	253	
14	13	105/2	105/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	254	
14	13	211/4	211/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	255	
15	14	53	53	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	256	
15	14	213/4	213/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	257	
15	14	107/2	107/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	258	
15	14	215/4	215/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	259	
15	14	54	54	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	260	
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	261	
15	14	55	55	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	262	
15	14	221/4	221/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	263	
15	14	111/2	111/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	264	
15	14	223/4	223/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	265	
15	14	56	56	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	266	
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	267	
15	14	53	53	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	268	
15	14	213/4	213/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	269	
15	14	107/2	107/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	270	
15	14	215/4	215/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	271	
15	14	54	54	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	272	
15	14	217/4	217/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	273	
15	14	109/2	109/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	274	
15	14	219/4	219/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	275	
15	14	55	55	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	276	
15	14	221/4	221/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	277	
15	14	111/2	111/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	278	
15	14	223/4	223/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	279	
15	14	56	56	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	280	
15	14	225/4	225/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	281	
15	14	113/2	113/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	282	
15	14	227/4	227/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	283	
16	15	57	57	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	284	
16	15	229/4	229/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	285	
16	15	115/2	115/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	286	
16	15	231/4	231/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	287	
16	15	58	58	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	288	
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	289	
16	15	59	59	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	290	
