mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	slur
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	67		
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	68		
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	69		
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	70		
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	71		
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	72		
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	73		
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	74		
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	75		
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	76		
13	13	24	24	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	77		
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	78		
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	79		
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	80		
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	81		
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	82		
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	83		
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	84		
13	13	24	24	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	85		
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	86		
14	14	26	26	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	87		
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	88		
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	89		
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	90		
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	91		
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	92		
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	93		
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	94		
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	95		
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	96		
15	15	28	28	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	97		
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	98		
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	99		
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	100		
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	101		
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	102		
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	103		
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	104		
15	15	28	28	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	105		
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	106		
16	16	30	30	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	107		
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	108		
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	109		
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	110		
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	111		
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	112		
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	113		
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	114		
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	115		
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	116		
16	16	30	30	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	117		
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	118		
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	119		
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	120		
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	121	ornamentTrill	
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	122		
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	123		
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	124		
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	125		
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	126		
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	127		
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	128		
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	129		
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	130		
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	131		
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	132		
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	133		
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	134		
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	135		
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	136		
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	137		
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	138		
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	139		
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	140		
19	19	36	36	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	141		
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	142		
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	143		
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	144		
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	145		
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	146		
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	147		
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	148		
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	149		
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	150		
20	20	38	38	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	151		
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	152		
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	153		
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	154		
20	20	39	39	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	155		
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	156		
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	157		
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	158		
20	20	38	38	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	159		
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	160		
21	21	40	40	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	161		
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	162		
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	163		
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	164		
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	165		
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	166		
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	167		
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	168		
21	21	40	40	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	169		
21	21	41	41	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	170		
22	22	42	42	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	171		
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	172		
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	173		
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	174		
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	175		
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	176		
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	177		
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	178		
22	22	42	42	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	179		
22	22	43	43	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	180		
22	22	42	42	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	181		
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	182		
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	183		
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	184		
23	23	44	44	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	185		
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	186		
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	187		
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	188		
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	189		
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	190		
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	191		
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	192		
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	193		
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	194		
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	195		
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	196		
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	197		
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	198		
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	199		
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	200		
24	24	46	46	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	201		
25	25	48	48	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	202		
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	203		
25	25	48	48	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	204		
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	205		
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	206		
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	207		
25	25	49	49	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	208		
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	209		
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	210		
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	211		
26	26	50	50	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	212		
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	213		
26	26	50	50	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	214		
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	215		
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	216		
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	217		
26	26	51	51	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	218		
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	219		
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	220		
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	221		
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	222		
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	223		
27	27	53	53	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	224		
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	225		
27	27	52	52	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	226		
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	227		
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	228		
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	229		
27	27	53	53	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	230		
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	231		
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	232		
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	233		
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	234		
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	235		
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	236		
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	237		
28	28	54	54	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	238		
28	28	217/4	217/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	239		
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	240		
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	241		
28	28	55	55	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	242		
28	28	221/4	221/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	243		
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	244		
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	245		
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	246	ornamentTrill	
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	247		
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	248		
29	29	57	57	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	249		
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	250		
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	251		
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	252		
29	29	56	56	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	253		
29	29	57	57	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	254		
30	30	58	58	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	255		
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	256		
30	30	59	59	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	257		
30	30	58	58	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	258		
30	30	237/4	237/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	259		
30	30	119/2	119/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	260		
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	261		
30	30	59	59	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	262		
31	31	60	60	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	263		
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	264		
31	31	60	60	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	265		
31	31	241/4	241/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	266		
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	267		
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	268		
31	31	61	61	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	269		
31	31	245/4	245/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	270		
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	271		
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	272		
32	32	62	62	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	273		
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	274		
32	32	62	62	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	275		
32	32	249/4	249/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	276		
32	32	125/2	125/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	277		
32	32	251/4	251/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	278		
32	32	63	63	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	279		
32	32	253/4	253/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	280		
32	32	127/2	127/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	281		
32	32	255/4	255/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	282		
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	283		
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	284		
33	33	65	65	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	285		
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	286		
33	33	64	64	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	287		
33	33	257/4	257/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	288		
33	33	129/2	129/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	289		
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	290		
33	33	65	65	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	291		
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	292		
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	293		
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	294		
34	34	66	66	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	295		
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	296		
34	34	67	67	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	297		
