mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
45	45	89	89	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	298				
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	299				
45	45	88	88	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	300				
45	45	89	89	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	301				
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	302				
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	303				
46	46	90	90	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	304				
46	46	91	91	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	305				
46	46	90	90	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	306				
46	46	91	91	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	307				
47	47	92	92	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	308				
47	47	92	92	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	309				
