mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	slur
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	46		
8	8	11	11	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	47		
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	48		
8	8	21/2	21/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	49		
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	50		
8	8	11	11	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	51		
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	52		
9	9	12	12	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	53		
9	9	97/8	97/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	54		
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	55		
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	56		
9	9	12	12	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	57		
9	9	13	13	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	58		
10	10	27/2	27/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	59		
10	10	109/8	109/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	60		
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	61		
10	10	14	14	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	62		
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	63		
10	10	27/2	27/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	64		
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	65		
11	11	15	15	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	66		
11	11	121/8	121/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	67		
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	68		
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	69		
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	70		
11	11	15	15	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	71		
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	72		
12	12	33/2	33/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	73		
12	12	133/8	133/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	74		
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	75		
12	12	17	17	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	76		
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	77		
12	12	33/2	33/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	78		
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	79		
13	13	18	18	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	80	ornamentTrill	
13	13	147/8	147/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	81		
13	13	37/2	37/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	82		
13	13	151/8	151/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	83		
13	13	19	19	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	84		
13	13	155/8	155/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	85		
13	13	18	18	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	86		
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	87		
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	88		
14	14	39/2	39/2	0.0	0	0	Chord	3/8	1	1	0	grace32	1/32	1	89		
14	14	39/2	39/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	90	ornamentTrill	
14	14	39/2	39/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	91		
15	15	21	21	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	92		
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	93		
15	15	21	21	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	94		
15	15	169/8	169/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	95		
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	96		
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	97		
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	98		
16	16	45/2	45/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	99		
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	100		
16	16	45/2	45/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	101		
16	16	181/8	181/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	102		
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	103		
16	16	23	23	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	104		
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	105		
17	17	24	24	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	106		
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	107		
17	17	24	24	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	108		
17	17	193/8	193/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	109		
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	110		
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	111		
17	17	25	25	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	112		
18	18	51/2	51/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	113		
18	18	207/8	207/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	114		
18	18	26	26	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	115		
18	18	211/8	211/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	116		
18	18	53/2	53/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	117		
18	18	215/8	215/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	118		
18	18	51/2	51/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	119		
18	18	26	26	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	120		
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	121		
19	19	27	27	0.0	0	0	Chord	3/8	1	1	0	grace32	1/32	1	122		
19	19	27	27	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	123	ornamentTrill	
19	19	27	27	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	124		
20	20	57/2	57/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	125		3
20	20	229/8	229/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	126		3
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	127		
20	20	29	29	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	128		
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	129		
20	20	57/2	57/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	130		
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	131		
21	21	30	30	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	132		4
21	21	241/8	241/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	133		4
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	134		
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	135		
21	21	31	31	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	136		
21	21	30	30	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	137		
21	21	31	31	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	138		
22	22	63/2	63/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	139		5
22	22	253/8	253/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	140		5
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	141		
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	142		
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	143		
22	22	63/2	63/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	144		
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	145		
23	23	33	33	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/32	1	146		
23	23	33	33	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	147	ornamentTrill	
23	23	34	34	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	148		
23	23	33	33	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	149		
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	150		
24	24	69/2	69/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	151		
24	24	277/8	277/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	152		
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	153		
24	24	35	35	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	154		
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	155		
24	24	69/2	69/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	156		
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	157		
25	25	36	36	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	158		
25	25	289/8	289/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	159		
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	160		
25	25	73/2	73/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	161		
25	25	37	37	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	162		
25	25	36	36	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	163		
25	25	37	37	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	164		
26	26	75/2	75/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	165		
26	26	301/8	301/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	166		
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	167		
26	26	38	38	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	168		
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	169		
26	26	75/2	75/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	170		
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	171		
27	27	39	39	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	172		
27	27	313/8	313/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	173		
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	174		
27	27	79/2	79/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	175		
27	27	40	40	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	176		
27	27	39	39	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	177		
27	27	40	40	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	178		
28	28	81/2	81/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	179		
28	28	325/8	325/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	180		
28	28	163/4	163/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	181		
28	28	41	41	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	182		
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	183		
28	28	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	184		
28	28	41	41	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	185		
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	186		
29	29	42	42	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	187		
29	29	337/8	337/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	188		
29	29	169/4	169/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	189		
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	190		
29	29	43	43	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	191		
29	29	42	42	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	192		
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	193		
29	29	43	43	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	194		
30	30	87/2	87/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	195		
30	30	349/8	349/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	196		
30	30	175/4	175/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	197		
30	30	44	44	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	198		
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	199		
31	31	45	45	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	200		
31	31	45	45	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	201		6
31	31	361/8	361/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	202		6
31	31	181/4	181/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	203		
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	204		
31	31	46	46	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	205		
32	32	93/2	93/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	206		
32	32	93/2	93/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	207		7
32	32	373/8	373/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	208		7
32	32	187/4	187/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	209		
32	32	47	47	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	210		
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	211		
33	33	48	48	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	212		
33	33	48	48	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	213		
33	33	385/8	385/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	214		
33	33	193/4	193/4	0.125	1/16	1/16	Chord	3/8	2	1	1/32		1/32	1	215		
33	33	387/8	387/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	216		
33	33	97/2	97/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	217		
33	33	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	218		
34	34	199/4	199/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	219		
34	34	50	50	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	220		
34	34	401/8	401/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	221		
34	34	201/4	201/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	222		
34	34	403/8	403/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	223		
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	224		
34	34	99/2	99/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	225		
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	226		
35	35	51	51	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	227		
35	35	411/8	411/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	228		
35	35	103/2	103/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	229		
35	35	52	52	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	230		
35	35	51	51	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	231		
35	35	103/2	103/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	232		
35	35	52	52	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	233		
36	36	105/2	105/2	0.0	0	0	Chord	3/8	1	1	0	grace16	1/32	1	234		
36	36	105/2	105/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	235	ornamentTrill	
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	236		
36	36	105/2	105/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	237		
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	238		
37	37	54	54	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	239		
37	37	433/8	433/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	240		
37	37	217/4	217/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	241		
37	37	109/2	109/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	242		
37	37	55	55	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	243		
37	37	54	54	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	244		
37	37	55	55	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	245		
38	38	111/2	111/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	246		
38	38	445/8	445/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	247		
38	38	223/4	223/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	248		
38	38	56	56	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	249		
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	250		
38	38	111/2	111/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	251		
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	252		
39	39	57	57	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	253		
39	39	457/8	457/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	254		
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	255		
39	39	115/2	115/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	256		
39	39	58	58	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	257		
39	39	57	57	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	258		
39	39	58	58	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	259		
40	40	117/2	117/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	260		
40	40	471/8	471/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	261		
40	40	59	59	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	262		
40	40	475/8	475/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	263		
40	40	119/2	119/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	264		
40	40	479/8	479/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	265		
40	40	117/2	117/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	266		
40	40	59	59	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	267		
40	40	119/2	119/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	268		
41	41	60	60	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	269	ornamentTrill	
41	41	121/2	121/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	270		
41	41	61	61	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	271		
41	41	60	60	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	272		
41	41	61	61	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	273		
42	42	123/2	123/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	274		
42	42	493/8	493/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	275		
42	42	247/4	247/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	276		
42	42	62	62	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	277		
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	278		
42	42	123/2	123/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	279		
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	280		
43	43	63	63	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	281		
43	43	505/8	505/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	282		
43	43	253/4	253/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	283		
43	43	127/2	127/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	284		
43	43	64	64	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	285		
43	43	63	63	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	286		
43	43	64	64	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	287		
44	44	129/2	129/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	288		
44	44	517/8	517/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	289		
44	44	259/4	259/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	290		
44	44	65	65	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	291		
44	44	131/2	131/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	292		
44	44	129/2	129/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	293		
44	44	131/2	131/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	294		
