mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
46	46	1/8	1/8	3/8	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
47	47	0	0	3/8	2	1	I}		d	III		I	I						}	M	1	0	0, 4, 1		0	0
48	48	0	0	3/8	2	1	i.i6{		d	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
48	48	1/4	1/4	3/8	2	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
49	49	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
49	49	1/4	1/4	3/8	2	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
50	50	0	0	3/8	2	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
50	50	1/4	1/4	3/8	2	1	#viio6/iv		d	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
51	51	0	0	3/8	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
51	51	1/4	1/4	3/8	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
52	52	0	0	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
53	53	0	0	3/8	2	1	i|IAC}		d	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
54	54	0	0	3/8	2	1	V7/iv{		d	i		V7/iv	V		7		iv		{	Mm7	1	1	0, 4, 1, -2		0	0
55	55	0	0	3/8	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
56	56	0	0	3/8	2	1	V7/iv		d	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
57	57	0	0	3/8	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
58	58	0	0	3/8	2	1	V7/v		d	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
59	59	0	0	3/8	2	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
60	60	0	0	3/8	2	1	V7/V		d	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
61	61	0	0	3/8	2	1	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
67	67	0	0	3/8	2	1	V	V7	d	i		V	V							M	1	1	1, 5, 2		1	1
68	68	0	0	3/8	2	1	i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
69	69	0	0	3/8	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
69	69	1/8	1/8	3/8	2	1	V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
69	69	1/4	1/4	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
70	70	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
71	71	0	0	3/8	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
71	71	1/8	1/8	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
72	72	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
73	73	0	0	3/8	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
73	73	1/8	1/8	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
74	74	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
75	75	0	0	3/8	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
75	75	1/8	1/8	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
76	76	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
77	77	0	0	3/8	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
77	77	1/8	1/8	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
78	78	0	0	3/8	2	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
80	80	0	0	3/8	2	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
80	80	1/8	1/8	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
81	81	0	0	3/8	2	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
81	81	1/8	1/8	3/8	2	1	V(6)		d	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
81	81	1/4	1/4	3/8	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
82	82	0	0	3/8	2	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
84	84	0	0	3/8	2	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
84	84	1/8	1/8	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
85	85	0	0	3/8	2	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
85	85	1/8	1/8	3/8	2	1	V(6)		d	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
85	85	1/4	1/4	3/8	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
86	86	0	0	3/8	2	1	i|PAC}		d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
