mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19	18	9/8	9/8	12/8	2	1		V		G	V		V	V							M	0	0	1, 5, 2		1	1
20	19	0	0	12/8	2	1		I|PAC}		G	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
21	19	0	11/8	12/8	2	1		{		G	V									{		0	0				
23	21	0	0	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	21	3/8	3/8	12/8	2	1		viio6		G	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
23	21	3/4	3/4	12/8	2	1		iii	I6	G	V		iii	iii							m	0	0	4, 1, 5		4	4
23	21	9/8	9/8	12/8	2	1		vi6		G	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
24	22	0	0	12/8	2	1		ii		G	V		ii	ii							m	0	0	2, -1, 3		2	2
24	22	5/8	5/8	12/8	2	1		V/vi		G	V		V/vi	V				vi			M	0	0	4, 8, 5		4	4
24	22	3/4	3/4	12/8	2	1		VI/vi		G	V		VI/vi	VI				vi			M	0	0	-1, 3, 0		-1	-1
24	22	9/8	9/8	12/8	2	1		iv/vi		G	V		iv/vi	iv				vi			m	0	0	2, -1, 3		2	2
24	22	11/8	11/8	12/8	2	1		V/VI		G	V		V/VI	V				VI			M	0	0	4, 8, 5		4	4
25	23	0	0	12/8	2	1		VI/vi		G	V		VI/vi	VI				vi			M	0	0	-1, 3, 0		-1	-1
25	23	3/8	3/8	12/8	2	1		iv/vi		G	V		iv/vi	iv				vi			m	0	0	2, -1, 3		2	2
25	23	5/8	5/8	12/8	2	1		V/vi		G	V		V/vi	V				vi			M	0	0	4, 8, 5		4	4
25	23	3/4	3/4	12/8	2	1		VI/vi		G	V		VI/vi	VI				vi			M	0	0	-1, 3, 0		-1	-1
25	23	9/8	9/8	12/8	2	1		vi.iio6	ii6	G	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
26	24	0	0	12/8	2	1		V|HC}{		G	vi		V	V					HC	}{	M	0	1	1, 5, 2		1	1
26	24	3/8	3/8	12/8	2	1		V7		G	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
26	24	3/4	3/4	12/8	2	1		VI		G	vi		VI	VI							M	0	1	-4, 0, -3		-4	-4
26	24	9/8	9/8	12/8	2	1		iv		G	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
26	24	11/8	11/8	12/8	2	1		V		G	vi		V	V							M	0	1	1, 5, 2		1	1
