mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	label_type
16	16	0	0	4/4	2	1	I	1 (dcml)
16	16	3/8	3/8	4/4	2	1	viio	1 (dcml)
16	16	1/2	1/2	4/4	2	1	I	1 (dcml)
16	16	7/8	7/8	4/4	2	1	viio6	1 (dcml)
17	17	0	0	4/4	2	1	a.IV6	1 (dcml)
17	17	1/4	1/4	4/4	2	1	IV	1 (dcml)
17	17	1/2	1/2	4/4	2	1	V	1 (dcml)
17	17	5/8	5/8	4/4	2	1	IV6	1 (dcml)
17	17	7/8	7/8	4/4	2	1	V6	1 (dcml)
18	18	0	0	4/4	2	1	i	1 (dcml)
18	18	3/8	3/8	4/4	2	1	#viio	1 (dcml)
18	18	1/2	1/2	4/4	2	1	i	1 (dcml)
18	18	3/4	3/4	4/4	2	1	#viio	1 (dcml)
19	19	0	0	4/4	2	1	i	1 (dcml)
19	19	3/8	3/8	4/4	2	1	#viio	1 (dcml)
19	19	1/2	1/2	4/4	2	1	i	1 (dcml)
19	19	5/8	5/8	4/4	2	1	iio6	1 (dcml)
19	19	3/4	3/4	4/4	2	1	V(64)	1 (dcml)
19	19	7/8	7/8	4/4	2	1	V	1 (dcml)
20	20	0	0	4/4	2	1	V	1 (dcml)
20	20	3/8	3/8	4/4	2	1	D.viio64-V2	1 (dcml)
20	20	1/2	1/2	4/4	2	1	I6	1 (dcml)
20	20	5/8	5/8	4/4	2	1	ii6	1 (dcml)
20	20	3/4	3/4	4/4	2	1	V64	1 (dcml)
20	20	7/8	7/8	4/4	2	1	viio64-V2	1 (dcml)
21	21	0	0	4/4	2	1	G.V	1 (dcml)
21	21	1/8	1/8	4/4	2	1	V(4)	1 (dcml)
21	21	3/8	3/8	4/4	2	1	V(6)	1 (dcml)
21	21	1/2	1/2	4/4	2	1	V7	1 (dcml)
21	21	5/8	5/8	4/4	2	1	V(64)	1 (dcml)
21	21	3/4	3/4	4/4	2	1	V	1 (dcml)
21	21	7/8	7/8	4/4	2	1	V(64)	1 (dcml)
22	22	0	0	4/4	2	1	V7	1 (dcml)
22	22	1/8	1/8	4/4	2	1	V(64)	1 (dcml)
22	22	1/4	1/4	4/4	2	1	V7	1 (dcml)
22	22	3/8	3/8	4/4	2	1	V(64)	1 (dcml)
22	22	1/2	1/2	4/4	2	1	V7	1 (dcml)
22	22	5/8	5/8	4/4	2	1	V(64)	1 (dcml)
22	22	3/4	3/4	4/4	2	1	V7	1 (dcml)
22	22	7/8	7/8	4/4	2	1	V(64)	1 (dcml)
23	23	0	0	4/4	2	1	V7	1 (dcml)
23	23	1/4	1/4	4/4	2	1	I	1 (dcml)
23	23	1/2	1/2	4/4	2	1	V	1 (dcml)
23	23	7/8	7/8	4/4	2	1	V65	1 (dcml)
24	24	0	0	4/4	2	1	d.di	1
24	24	3/8	3/8	4/4	2	1	#viio7	1 (dcml)
24	24	1/2	1/2	4/4	2	1	i	1 (dcml)
24	24	7/8	7/8	4/4	2	1	#viio7	1 (dcml)
25	25	0	0	4/4	2	1	i	1 (dcml)
25	25	1/8	1/8	4/4	2	1	#viio6	1 (dcml)
25	25	1/4	1/4	4/4	2	1	D.I	1 (dcml)
25	25	3/8	3/8	4/4	2	1	IV	1 (dcml)
25	25	1/2	1/2	4/4	2	1	I	1 (dcml)
25	25	5/8	5/8	4/4	2	1	viio6	1 (dcml)
25	25	3/4	3/4	4/4	2	1	I	1 (dcml)
25	25	7/8	7/8	4/4	2	1	ii6	1 (dcml)
26	26	0	0	4/4	2	1	V	1 (dcml)
26	26	3/8	3/8	4/4	2	1	viio	1 (dcml)
26	26	1/2	1/2	4/4	2	1	I	1 (dcml)
26	26	5/8	5/8	4/4	2	1	ii	1 (dcml)
26	26	3/4	3/4	4/4	2	1	V(64)	1 (dcml)
26	26	7/8	7/8	4/4	2	1	V	1 (dcml)
27	27	0	0	4/4	2	1	I	1 (dcml)
27	27	3/8	3/8	4/4	2	1	V	1 (dcml)
27	27	1/2	1/2	4/4	2	1	I	1 (dcml)
27	27	7/8	7/8	4/4	2	1	V	1 (dcml)
28	28	0	0	4/4	2	1	I	1 (dcml)
28	28	1/8	1/8	4/4	2	1	ii	1 (dcml)
28	28	1/4	1/4	4/4	2	1	V(64)	1 (dcml)
28	28	3/8	3/8	4/4	2	1	V	1 (dcml)
28	28	1/2	1/2	4/4	2	1	I	1 (dcml)
29	29	0	0	4/4	2	1	I	1 (dcml)
