mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	5	3/4	3/4	4/4	2	1	I6/III		g	i		I6/III	I		6		III				M	1	1	1, -2, -3		-3	1
6	5	7/8	7/8	4/4	2	1	V65/III		g	i		V65/III	V		65		III				Mm7	1	1	2, -1, -4, -2		-2	2
7	6	0	0	4/4	2	1	I/III		g	i		I/III	I				III				M	1	1	-3, 1, -2		-3	-3
7	6	1/4	1/4	4/4	2	1	I6/III		g	i		I6/III	I		6		III				M	1	1	1, -2, -3		-3	1
7	6	1/2	1/2	4/4	2	1	IV		g	i		IV	IV								M	1	1	-1, 3, 0		-1	-1
7	6	5/8	5/8	4/4	2	1	V64/iv	#viio6/iv	g	i		V64/iv	V		64		iv				M	1	1	1, 0, 4		0	1
7	6	3/4	3/4	4/4	2	1	i6/iv		g	i		i6/iv	i		6		iv				m	1	1	-4, 0, -1		-1	-4
7	6	7/8	7/8	4/4	2	1	V6/iv	#viio/iv	g	i		V6/iv	V		6		iv				M	1	1	4, 1, 0		0	4
8	7	0	0	4/4	2	1	i/iv		g	i		i/iv	i				iv				m	1	1	-1, -4, 0		-1	-1
8	7	1/4	1/4	4/4	2	1	i6/iv		g	i		i6/iv	i		6		iv				m	1	1	-4, 0, -1		-1	-4
8	7	1/2	1/2	4/4	2	1	IV/v		g	i		IV/v	IV				v				M	1	1	0, 4, 1		0	0
8	7	5/8	5/8	4/4	2	1	V64/v	#viio6/v	g	i		V64/v	V		64		v				M	1	1	3, 2, 6		2	3
8	7	3/4	3/4	4/4	2	1	i6/v		g	i		i6/v	i		6		v				m	1	1	-2, 2, 1		1	-2
8	7	7/8	7/8	4/4	2	1	V6/v	#viio/v	g	i		V6/v	V		6		v				M	1	1	6, 3, 2		2	6
9	8	0	0	4/4	2	1	v.i		g	v		i	i								m	1	1	0, -3, 1		0	0
9	8	1/4	1/4	4/4	2	1	i6		g	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
9	8	3/8	3/8	4/4	2	1	iv		g	v		iv	iv								m	1	1	-1, -4, 0		-1	-1
9	8	1/2	1/2	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
9	8	3/4	3/4	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
10	9	0	0	4/4	2	1	i		g	v		i	i								m	1	1	0, -3, 1		0	0
10	9	1/4	1/4	4/4	2	1	i6		g	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
10	9	1/2	1/2	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
10	9	3/4	3/4	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
11	10	0	0	4/4	2	1	i		g	v		i	i								m	1	1	0, -3, 1		0	0
11	10	1/8	1/8	4/4	2	1	i6		g	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
11	10	1/4	1/4	4/4	2	1	ii65		g	v		ii65	ii		65						mm7	1	1	-1, 3, 0, 2		2	-1
11	10	3/8	3/8	4/4	2	1	ii7/iv		g	v		ii7/iv	ii		7		iv				mm7	1	1	1, -2, 2, -1		1	1
11	10	1/2	1/2	4/4	2	1	V7/iv		g	v		V7/iv	V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
11	10	5/8	5/8	4/4	2	1	i/iv		g	v		i/iv	i				iv				m	1	1	-1, -4, 0		-1	-1
11	10	3/4	3/4	4/4	2	1	V6		g	v		V6	V		6						M	1	1	5, 2, 1		1	5
11	10	7/8	7/8	4/4	2	1	i		g	v		i	i								m	1	1	0, -3, 1		0	0
12	11	0	0	4/4	2	1	V[V		g	v	V	V	V								M	1	1	1, 5, 2		1	1
12	11	1/8	1/8	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
12	11	1/4	1/4	4/4	2	1	V7(4)		g	v		V7(4)	V		7	4					Mm7	1	1	1, 0, 2, -1		1	1
12	11	3/8	3/8	4/4	2	1	V7]		g	v		V7	V		7			]			Mm7	1	1	1, 5, 2, -1		1	1
12	11	1/2	1/2	4/4	2	1	I(64)/i}{		g	v		I(64)/i	I			64	i			}{	M	1	1	0, -1, -4		0	0
12	11	5/8	5/8	4/4	2	1	I/i|IAC		g	v		I/i	I				i		IAC		M	1	1	0, 4, 1		0	0
12	11	3/4	3/4	4/4	2	1	V7/iv		g	v		V7/iv	V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
13	12	0	0	4/4	2	1	ii%7		g	v		ii%7	ii	%	7						%7	1	1	2, -1, -4, 0		2	2
13	12	1/4	1/4	4/4	2	1	i6		g	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
13	12	3/8	3/8	4/4	2	1	#viio		g	v		#viio	#vii	o							o	1	1	5, 2, -1		5	5
13	12	1/2	1/2	4/4	2	1	i		g	v		i	i								m	1	1	0, -3, 1		0	0
13	12	5/8	5/8	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
13	12	3/4	3/4	4/4	2	1	iv6		g	v		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
14	13	0	0	4/4	2	1	V[V}{		g	v	V	V	V							}{	M	1	1	1, 5, 2		1	1
14	13	1/4	1/4	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
14	13	1/2	1/2	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
14	13	3/4	3/4	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
15	14	0	0	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
15	14	1/4	1/4	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
15	14	1/2	1/2	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
15	14	3/4	3/4	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
16	15	0	0	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
16	15	1/4	1/4	4/4	2	1	V7]		g	v		V7	V		7			]			Mm7	1	1	1, 5, 2, -1		1	1
16	15	1/2	1/2	4/4	2	1	i		g	v		i	i								m	1	1	0, -3, 1		0	0
16	15	5/8	5/8	4/4	2	1	iv	ii%65	g	v		iv	iv								m	1	1	-1, -4, 0		-1	-1
16	15	3/4	3/4	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
16	15	7/8	7/8	4/4	2	1	iv6		g	v		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
17	16	0	0	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
17	16	1/2	1/2	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
17	16	3/4	3/4	4/4	2	1	i		g	v		i	i								m	1	1	0, -3, 1		0	0
18	17	0	0	4/4	2	1	V[V}{		g	v	V	V	V							}{	M	1	1	1, 5, 2		1	1
18	17	1/4	1/4	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
18	17	1/2	1/2	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
18	17	3/4	3/4	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
19	18	0	0	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
19	18	1/4	1/4	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
19	18	1/2	1/2	4/4	2	1	V(64)		g	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
19	18	3/4	3/4	4/4	2	1	V7]		g	v		V7	V		7			]			Mm7	1	1	1, 5, 2, -1		1	1
20	19	0	0	4/4	2	1	I		g	v		I	I								M	1	1	0, 4, 1		0	0
20	19	1/8	1/8	4/4	2	1	iv7		g	v		iv7	iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
20	19	1/4	1/4	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
20	19	1/2	1/2	4/4	2	1	I[I(64)		g	v	I	I(64)	I			64					M	1	1	0, -1, -4		0	0
20	19	3/4	3/4	4/4	2	1	I		g	v		I	I								M	1	1	0, 4, 1		0	0
21	20	1/4	1/4	4/4	2	1	iv		g	v		iv	iv								m	1	1	-1, -4, 0		-1	-1
21	20	3/8	3/8	4/4	2	1	V		g	v		V	V								M	1	1	1, 5, 2		1	1
21	20	1/2	1/2	4/4	2	1	I		g	v		I	I								M	1	1	0, 4, 1		0	0
22	21	1/4	1/4	4/4	2	1	IV		g	v		IV	IV								M	1	1	-1, 3, 0		-1	-1
22	21	3/8	3/8	4/4	2	1	V7		g	v		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
22	21	1/2	1/2	4/4	2	1	I]|PAC}		g	v		I	I					]	PAC	}	M	1	1	0, 4, 1		0	0
24	22	0	0	4/4	2	1	i.I/V{		g	i		I/V	I				V			{	M	1	1	1, 5, 2		1	1
24	22	1/4	1/4	4/4	2	1	I6/V		g	i		I6/V	I		6		V				M	1	1	5, 2, 1		1	5
24	22	1/2	1/2	4/4	2	1	I/V		g	i		I/V	I				V				M	1	1	1, 5, 2		1	1
24	22	3/4	3/4	4/4	2	1	I6/V		g	i		I6/V	I		6		V				M	1	1	5, 2, 1		1	5
25	23	0	0	4/4	2	1	viio65		g	i		viio65	vii	o	65						o7	1	1	-5, -8, -11, -2		-2	-5
25	23	1/2	1/2	4/4	2	1	i6		g	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
25	23	3/4	3/4	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
25	23	7/8	7/8	4/4	2	1	V2/iv		g	i		V2/iv	V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
26	24	0	0	4/4	2	1	iv.i6		g	iv		i6	i		6						m	1	1	-3, 1, 0		0	-3
26	24	1/4	1/4	4/4	2	1	i		g	iv		i	i								m	1	1	0, -3, 1		0	0
26	24	1/2	1/2	4/4	2	1	iv6		g	iv		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
26	24	3/4	3/4	4/4	2	1	ii%65		g	iv		ii%65	ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
27	25	0	0	4/4	2	1	V[V}{		g	iv	V	V	V							}{	M	1	1	1, 5, 2		1	1
27	25	1/4	1/4	4/4	2	1	V(64)		g	iv		V(64)	V			64					M	1	1	1, 0, -3		1	1
27	25	1/2	1/2	4/4	2	1	V		g	iv		V	V								M	1	1	1, 5, 2		1	1
27	25	3/4	3/4	4/4	2	1	V(64)		g	iv		V(64)	V			64					M	1	1	1, 0, -3		1	1
28	26	0	0	4/4	2	1	V		g	iv		V	V								M	1	1	1, 5, 2		1	1
28	26	1/4	1/4	4/4	2	1	V(64)		g	iv		V(64)	V			64					M	1	1	1, 0, -3		1	1
28	26	1/2	1/2	4/4	2	1	V		g	iv		V	V								M	1	1	1, 5, 2		1	1
28	26	3/4	3/4	4/4	2	1	V7		g	iv		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
29	27	0	0	4/4	2	1	V(64)		g	iv		V(64)	V			64					M	1	1	1, 0, -3		1	1
29	27	1/4	1/4	4/4	2	1	V7]		g	iv		V7	V		7			]			Mm7	1	1	1, 5, 2, -1		1	1
29	27	1/2	1/2	4/4	2	1	i		g	iv		i	i								m	1	1	0, -3, 1		0	0
29	27	5/8	5/8	4/4	2	1	iv	ii%65	g	iv		iv	iv								m	1	1	-1, -4, 0		-1	-1
29	27	3/4	3/4	4/4	2	1	V		g	iv		V	V								M	1	1	1, 5, 2		1	1
29	27	7/8	7/8	4/4	2	1	iv6		g	iv		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
30	28	0	0	4/4	2	1	V7		g	iv		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
30	28	3/8	3/8	4/4	2	1	i6		g	iv		i6	i		6						m	1	1	-3, 1, 0		0	-3
30	28	1/2	1/2	4/4	2	1	ii7		g	iv		ii7	ii		7						mm7	1	1	2, -1, 3, 0		2	2
30	28	5/8	5/8	4/4	2	1	V		g	iv		V	V								M	1	1	1, 5, 2		1	1
30	28	3/4	3/4	4/4	2	1	i		g	iv		i	i								m	1	1	0, -3, 1		0	0
30	28	7/8	7/8	4/4	2	1	i.#viio6		g	i		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
31	29	0	0	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
31	29	1/4	1/4	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
31	29	1/2	1/2	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
31	29	5/8	5/8	4/4	2	1	iv	ii%65	g	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
31	29	3/4	3/4	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
31	29	7/8	7/8	4/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
32	30	0	0	4/4	2	1	V[V}{		g	i	V	V	V							}{	M	1	1	1, 5, 2		1	1
32	30	1/4	1/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
32	30	1/2	1/2	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
32	30	3/4	3/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
33	31	0	0	4/4	2	1	V[V		g	i	V	V	V								M	1	1	1, 5, 2		1	1
33	31	1/4	1/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
33	31	1/2	1/2	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
33	31	3/4	3/4	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
34	32	0	0	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
34	32	1/4	1/4	4/4	2	1	V7]		g	i		V7	V		7			]			Mm7	1	1	1, 5, 2, -1		1	1
34	32	1/2	1/2	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
34	32	5/8	5/8	4/4	2	1	iv	ii%65	g	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
34	32	3/4	3/4	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
34	32	7/8	7/8	4/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
35	33	0	0	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
35	33	1/2	1/2	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
35	33	3/4	3/4	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
36	34	0	0	4/4	2	1	V[V}{		g	i	V	V	V							}{	M	1	1	1, 5, 2		1	1
36	34	1/4	1/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
36	34	1/2	1/2	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
36	34	3/4	3/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
37	35	0	0	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
37	35	1/4	1/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
37	35	1/2	1/2	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
37	35	3/4	3/4	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
38	36	0	0	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
38	36	1/4	1/4	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
38	36	1/2	1/2	4/4	2	1	V(64)		g	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
38	36	3/4	3/4	4/4	2	1	V7]		g	i		V7	V		7			]			Mm7	1	1	1, 5, 2, -1		1	1
39	37	0	0	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
39	37	1/8	1/8	4/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
39	37	1/4	1/4	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
39	37	1/2	1/2	4/4	2	1	i[i(64)		g	i	i	i(64)	i			64					m	1	1	0, -1, -4		0	0
39	37	3/4	3/4	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
40	38	1/4	1/4	4/4	2	1	iv		g	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
40	38	3/8	3/8	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
40	38	1/2	1/2	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
41	39	1/4	1/4	4/4	2	1	IV		g	i		IV	IV								M	1	1	-1, 3, 0		-1	-1
41	39	3/8	3/8	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
41	39	1/2	1/2	4/4	2	1	i]|PAC}		g	i		i	i					]	PAC	}	m	1	1	0, -3, 1		0	0
