mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
3	3	0	0	4/4	2	1	i(9)			d	i		i(9)	i			9					m	1	1	2, -1, 3	4	2	2	0	3	0.0	0.0	0.5	0.0
3	3	1/8	1/8	4/4	2	1	i6			d	i		i6	i		6						m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.375	0.0
3	3	1/4	1/4	4/4	2	1	ii%65			d	i		ii%65	ii	%	65						%7	1	1	1, -2, 2, 4		4	1	0	2	0.0	0.0	0.25	0.0
3	3	3/8	3/8	4/4	2	1	V			d	i		V	V								M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
3	3	1/2	1/2	4/4	2	1	i|IAC}{			d	i		i	i						IAC	}{	m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
3	3	7/8	7/8	4/4	2	1	viio64/III			d	i		viio64/III	vii	o	64		III				o	1	1	-2, 4, 1		4	-2	0	4	0.0	0.0	0.5	0.0
4	4	0	0	4/4	2	1	III.I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	2	5	0.2857142857142857	0.25	1.375	0.15384615384615385
4	4	1/4	1/4	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
4	4	3/8	3/8	4/4	2	1	viio6			d	III		viio6	vii	o	6						o	1	0	1, -2, 4		4	1	1	5	0.16666666666666666	0.0625	0.5625	0.1
4	4	1/2	1/2	4/4	2	1	I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	2	5	0.2857142857142857	0.5	0.875	0.36363636363636365
4	4	3/4	3/4	4/4	2	1	IV(116)			d	III		IV(116)	IV			116					M	1	0	-2, 2, 1	4	-2	-2	0	2	0.0	0.0	0.5	0.0
4	4	7/8	7/8	4/4	2	1	IV			d	III		IV	IV								M	1	0	-2, 2, -1		-2	-2	1	3	0.25	0.0625	0.3125	0.16666666666666666
5	5	0	0	4/4	2	1	V2}{			d	III		V2	V		2					}{	Mm7	1	0	-2, 0, 4, 1		0	-2	0	5	0.0	0.0	0.875	0.0
5	5	1/8	1/8	4/4	2	1	I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
5	5	1/4	1/4	4/4	2	1	V64			d	III		V64	V		64						M	1	0	1, 0, 4		0	1	0	2	0.0	0.0	0.25	0.0
5	5	3/8	3/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
5	5	1/2	1/2	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	7	0.0	0.0	1.625	0.0
5	5	3/4	3/4	4/4	2	1	I(9)			d	III		I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	4	0.0	0.0	1.0	0.0
5	5	7/8	7/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
6	6	0	0	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	0	4	0.0	0.0	0.625	0.0
6	6	1/8	1/8	4/4	2	1	V(64)			d	III		V(64)	V			64					M	1	0	0, -1, 3		0	0	0	3	0.0	0.0	0.375	0.0
6	6	1/4	1/4	4/4	2	1	V7			d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
6	6	3/8	3/8	4/4	2	1	V(64)			d	III		V(64)	V			64					M	1	0	0, -1, 3		0	0	0	3	0.0	0.0	0.375	0.0
6	6	1/2	1/2	4/4	2	1	ii			d	III		ii	ii								m	1	0	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
6	6	5/8	5/8	4/4	2	1	viio6			d	III		viio6	vii	o	6						o	1	0	1, -2, 4		4	1	0	1	0.0	0.0	0.125	0.0
6	6	3/4	3/4	4/4	2	1	I(4)			d	III		I(4)	I			4					M	1	0	-1, -2, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
6	6	7/8	7/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
7	7	0	0	4/4	2	1	V(4)}{			d	III		V(4)	V			4				}{	M	1	0	0, -1, 1		0	0	0	3	0.0	0.0	0.375	0.0
7	7	1/8	1/8	4/4	2	1	V|HC			d	III		V	V						HC		M	1	0	0, 4, 1		0	0	2	3	0.4	0.25	0.5	0.3333333333333333
7	7	3/8	3/8	4/4	2	1	V65		viio	d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	3	0.0	0.0	0.375	0.0
7	7	1/2	1/2	4/4	2	1	I(4)			d	III		I(4)	I			4					M	1	0	-1, -2, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
7	7	5/8	5/8	4/4	2	1	I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	0	3	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	2	1	ii65			d	III		ii65	ii		65						mm7	1	0	-2, 2, -1, 1		1	-2	0	2	0.0	0.0	0.375	0.0
7	7	7/8	7/8	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
8	8	0	0	4/4	2	1	vi(9)			d	III		vi(9)	vi			9					m	1	0	2, -1, 3	4	2	2	0	4	0.0	0.0	0.5	0.0
8	8	1/8	1/8	4/4	2	1	IV6			d	III		IV6	IV		6						M	1	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.625	0.0
8	8	1/4	1/4	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	3	0.0	0.0	0.5	0.0
8	8	3/8	3/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
8	8	1/2	1/2	4/4	2	1	ii(9)			d	III		ii(9)	ii			9					m	1	0	1, -2, 2	3	1	1	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	5/8	5/8	4/4	2	1	viio6			d	III		viio6	vii	o	6						o	1	0	1, -2, 4		4	1	1	3	0.25	0.0625	0.4375	0.125
8	8	3/4	3/4	4/4	2	1	I6(2)			d	III		I6(2)	I		6	2					M	1	0	3, 0, 1		-1	3	0	3	0.0	0.0	0.625	0.0
8	8	7/8	7/8	4/4	2	1	IVM7			d	III		IVM7	IV	M	7						MM7	1	0	-2, 2, -1, 3		-2	-2	0	2	0.0	0.0	0.25	0.0
9	9	0	0	4/4	2	1	V(4)			d	III		V(4)	V			4					M	1	0	0, -1, 1		0	0	0	3	0.0	0.0	0.375	0.0
9	9	1/8	1/8	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	2	3	0.4	0.25	0.5	0.3333333333333333
9	9	3/8	3/8	4/4	2	1	V65		viio	d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	3	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	2	1	I(4)}{			d	III		I(4)	I			4				}{	M	1	0	-1, -2, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
9	9	5/8	5/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.625	0.0
9	9	3/4	3/4	4/4	2	1	V(4)			d	III		V(4)	V			4					M	1	0	0, -1, 1		0	0	0	2	0.0	0.0	0.5	0.0
9	9	7/8	7/8	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
10	10	0	0	4/4	2	1	IV6(112)			d	III		IV6(112)	IV		6	112					M	1	0	2, -1, 0	4	-2	2	0	4	0.0	0.0	0.75	0.0
10	10	1/8	1/8	4/4	2	1	IV6			d	III		IV6	IV		6						M	1	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
10	10	1/4	1/4	4/4	2	1	V65(2)			d	III		V65(2)	V		65	2					Mm7	1	0	4, 1, -2, 2		0	4	0	2	0.0	0.0	0.5	0.0
10	10	3/8	3/8	4/4	2	1	V6			d	III		V6	V		6						M	1	0	4, 1, 0		0	4	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
10	10	1/2	1/2	4/4	2	1	I(9)			d	III		I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	3	0.0	0.0	0.625	0.0
10	10	5/8	5/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
10	10	3/4	3/4	4/4	2	1	ii7			d	III		ii7	ii		7						mm7	1	0	1, -2, 2, -1		1	1	1	3	0.25	0.0625	0.5625	0.1
11	11	0	0	4/4	2	1	viio6			d	III		viio6	vii	o	6						o	1	0	1, -2, 4		4	1	0	3	0.0	0.0	0.375	0.0
11	11	1/8	1/8	4/4	2	1	I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	0	3	0.0	0.0	0.375	0.0
11	11	1/4	1/4	4/4	2	1	viio6			d	III		viio6	vii	o	6						o	1	0	1, -2, 4		4	1	0	4	0.0	0.0	0.5	0.0
11	11	3/8	3/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
11	11	1/2	1/2	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	7	0.0	0.0	1.625	0.0
11	11	3/4	3/4	4/4	2	1	I(9)			d	III		I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	4	0.0	0.0	1.0	0.0
11	11	7/8	7/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
12	12	0	0	4/4	2	1	V(4)			d	III		V(4)	V			4					M	1	0	0, -1, 1		0	0	2	5	0.2857142857142857	0.125	1.0	0.1111111111111111
12	12	1/4	1/4	4/4	2	1	V7			d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.25	0.0
12	12	3/8	3/8	4/4	2	1	V(64)			d	III		V(64)	V			64					M	1	0	0, -1, 3		0	0	0	3	0.0	0.0	0.375	0.0
12	12	1/2	1/2	4/4	2	1	V43			d	III		V43	V		43						Mm7	1	0	1, -2, 0, 4		0	1	0	6	0.0	0.0	1.375	0.0
12	12	3/4	3/4	4/4	2	1	I(4)			d	III		I(4)	I			4					M	1	0	-1, -2, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
12	12	7/8	7/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
13	13	0	0	4/4	2	1	V(4)			d	III		V(4)	V			4					M	1	0	0, -1, 1		0	0	0	4	0.0	0.0	0.875	0.0
13	13	1/8	1/8	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	2	3	0.4	0.25	0.5	0.3333333333333333
13	13	3/8	3/8	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	3	0.0	0.0	0.375	0.0
13	13	1/2	1/2	4/4	2	1	i(4)|DC}{			d	III		i(4)	i			4			DC	}{	m	1	0	-1, -2, 0		-1	-1	2	3	0.4	0.125	0.625	0.16666666666666666
13	13	3/4	3/4	4/4	2	1	i			d	III		i	i								m	1	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.75	0.0
14	14	0	0	4/4	2	1	V/IV			d	III		V/IV	V				IV				M	1	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	1.125	0.18181818181818182
14	14	1/4	1/4	4/4	2	1	V(64)/IV			d	III		V(64)/IV	V			64	IV				M	1	0	-1, -2, 2		-1	-1	0	2	0.0	0.0	0.5	0.0
14	14	3/8	3/8	4/4	2	1	V7/IV			d	III		V7/IV	V		7		IV				Mm7	1	0	-1, 3, 0, -3		-1	-1	0	2	0.0	0.0	0.25	0.0
14	14	1/2	1/2	4/4	2	1	V7/v			d	III		V7/v	V		7		v				Mm7	1	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.75	0.0
14	14	5/8	5/8	4/4	2	1	V(64)/v			d	III		V(64)/v	V			64	v				M	1	0	1, 0, -3		1	1	0	3	0.0	0.0	0.375	0.0
14	14	3/4	3/4	4/4	2	1	V7/v			d	III		V7/v	V		7		v				Mm7	1	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.375	0.0
14	14	7/8	7/8	4/4	2	1	V(94)/v			d	III		V(94)/v	V			94	v				M	1	0	1, 0, 2	-4	1	1	0	3	0.0	0.0	0.375	0.0
15	15	0	0	4/4	2	1	V6/v			d	III		V6/v	V		6		v				M	1	0	5, 2, 1		1	5	0	3	0.0	0.0	0.5	0.0
15	15	1/8	1/8	4/4	2	1	V/v			d	III		V/v	V				v				M	1	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
15	15	1/4	1/4	4/4	2	1	i/v			d	III		i/v	i				v				m	1	0	0, -3, 1		0	0	0	3	0.0	0.0	0.375	0.0
15	15	3/8	3/8	4/4	2	1	#viio6/v			d	III		#viio6/v	#vii	o	6		v				o	1	0	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
15	15	1/2	1/2	4/4	2	1	V6/iv/v			d	III		V6/iv/v	V		6		iv/v				M	1	0	4, 1, 0		0	4	0	3	0.0	0.0	0.5	0.0
15	15	5/8	5/8	4/4	2	1	V/iv/v			d	III		V/iv/v	V				iv/v				M	1	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
15	15	3/4	3/4	4/4	2	1	iv/v			d	III		iv/v	iv				v				m	1	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
15	15	7/8	7/8	4/4	2	1	#viio6/iv/v			d	III		#viio6/iv/v	#vii	o	6		iv/v				o	1	0	1, -2, 4		4	1	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
16	16	0	0	4/4	2	1	iv6/v			d	III		iv6/v	iv		6		v				m	1	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
16	16	1/8	1/8	4/4	2	1	iio64/v			d	III		iio64/v	ii	o	64		v				o	1	0	-4, 2, -1		2	-4	0	3	0.0	0.0	0.375	0.0
16	16	1/4	1/4	4/4	2	1	V(64)/v			d	III		V(64)/v	V			64	v				M	1	0	1, 0, -3		1	1	0	3	0.0	0.0	0.375	0.0
16	16	3/8	3/8	4/4	2	1	V2/v			d	III		V2/v	V		2		v				Mm7	1	0	-1, 1, 5, 2		1	-1	0	3	0.0	0.0	0.375	0.0
16	16	1/2	1/2	4/4	2	1	V6/iv/v			d	III		V6/iv/v	V		6		iv/v				M	1	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
16	16	5/8	5/8	4/4	2	1	V/iv/v			d	III		V/iv/v	V				iv/v				M	1	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
16	16	3/4	3/4	4/4	2	1	iv/v			d	III		iv/v	iv				v				m	1	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
16	16	7/8	7/8	4/4	2	1	#viio6/iv/v			d	III		#viio6/iv/v	#vii	o	6		iv/v				o	1	0	1, -2, 4		4	1	0	3	0.0	0.0	0.375	0.0
17	17	0	0	4/4	2	1	iv6/v			d	III		iv6/v	iv		6		v				m	1	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
17	17	1/8	1/8	4/4	2	1	iio64/v			d	III		iio64/v	ii	o	64		v				o	1	0	-4, 2, -1		2	-4	0	3	0.0	0.0	0.375	0.0
17	17	1/4	1/4	4/4	2	1	V(64)/v			d	III		V(64)/v	V			64	v				M	1	0	1, 0, -3		1	1	0	3	0.0	0.0	0.375	0.0
17	17	3/8	3/8	4/4	2	1	V2/v			d	III		V2/v	V		2		v				Mm7	1	0	-1, 1, 5, 2		1	-1	0	3	0.0	0.0	0.375	0.0
17	17	1/2	1/2	4/4	2	1	V6			d	III		V6	V		6						M	1	0	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
17	17	5/8	5/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
17	17	3/4	3/4	4/4	2	1	viio6			d	III		viio6	vii	o	6						o	1	0	1, -2, 4		4	1	0	4	0.0	0.0	0.75	0.0
18	18	0	0	4/4	2	1	I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	0	5	0.0	0.0	0.75	0.0
18	18	1/4	1/4	4/4	2	1	IV(9)			d	III		IV(9)	IV			9					M	1	0	-2, 2, -1	0	-2	-2	0	2	0.0	0.0	0.375	0.0
18	18	3/8	3/8	4/4	2	1	ii6			d	III		ii6	ii		6						m	1	0	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
18	18	1/2	1/2	4/4	2	1	V7			d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.75	0.0
18	18	5/8	5/8	4/4	2	1	V(64)			d	III		V(64)	V			64					M	1	0	0, -1, 3		0	0	0	3	0.0	0.0	0.25	0.0
18	18	3/4	3/4	4/4	2	1	V7			d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	4	0.0	0.0	0.625	0.0
19	19	0	0	4/4	2	1	vi7(112)			d	III		vi7(112)	vi		7	112					mm7	1	0	4, -1, 3, 0	1	2	4	1	3	0.25	0.25	0.5	0.3333333333333333
19	19	1/8	1/8	4/4	2	1	IV6			d	III		IV6	IV		6						M	1	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
19	19	1/4	1/4	4/4	2	1	V6(2)			d	III		V6(2)	V		6	2					M	1	0	4, 1, 2		0	4	0	2	0.0	0.0	0.625	0.0
19	19	3/8	3/8	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	1	3	0.25	0.0625	0.1875	0.25
19	19	1/2	1/2	4/4	2	1	I(9)			d	III		I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	3	0.0	0.0	0.875	0.0
19	19	5/8	5/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	2	1	0.6666666666666666	0.1875	0.0625	0.75
19	19	3/4	3/4	4/4	2	1	IVM7			d	III		IVM7	IV	M	7						MM7	1	0	-2, 2, -1, 3		-2	-2	0	2	0.0	0.0	0.5	0.0
19	19	7/8	7/8	4/4	2	1	IV			d	III		IV	IV								M	1	0	-2, 2, -1		-2	-2	2	2	0.5	0.125	0.125	0.5
20	20	0	0	4/4	2	1	V2}{			d	III		V2	V		2					}{	Mm7	1	0	-2, 0, 4, 1		0	-2	0	5	0.0	0.0	0.75	0.0
20	20	1/8	1/8	4/4	2	1	I6			d	III		I6	I		6						M	1	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
20	20	1/4	1/4	4/4	2	1	V64			d	III		V64	V		64						M	1	0	1, 0, 4		0	1	0	2	0.0	0.0	0.25	0.0
20	20	3/8	3/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
20	20	1/2	1/2	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	7	0.0	0.0	1.625	0.0
20	20	3/4	3/4	4/4	2	1	I(9)			d	III		I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	4	0.0	0.0	1.0	0.0
20	20	7/8	7/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
21	21	0	0	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	0	4	0.0	0.0	0.625	0.0
21	21	1/8	1/8	4/4	2	1	IV6(2)			d	III		IV6(2)	IV		6	2					M	1	0	2, -1, 0		-2	2	0	3	0.0	0.0	0.5	0.0
21	21	1/4	1/4	4/4	2	1	V65(9)			d	III		V65(9)	V		65	9					Mm7	1	0	4, 1, -2, 0	2	0	4	0	3	0.0	0.0	0.875	0.0
21	21	3/8	3/8	4/4	2	1	V65			d	III		V65	V		65						Mm7	1	0	4, 1, -2, 0		0	4	0	2	0.0	0.0	0.125	0.0
21	21	1/2	1/2	4/4	2	1	I(9)			d	III		I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	3	0.0	0.0	0.75	0.0
21	21	5/8	5/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
21	21	3/4	3/4	4/4	2	1	V(4)			d	III		V(4)	V			4					M	1	0	0, -1, 1		0	0	0	4	0.0	0.0	1.0	0.0
21	21	7/8	7/8	4/4	2	1	V			d	III		V	V								M	1	0	0, 4, 1		0	0	0	1	0.0	0.0	0.125	0.0
22	22	0	0	4/4	2	1	I|PAC}{			d	III		I	I						PAC	}{	M	1	0	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.125	1.0	0.1111111111111111
22	22	3/8	3/8	4/4	2	1	viio			d	III		viio	vii	o							o	1	0	4, 1, -2		4	4	0	3	0.0	0.0	0.5	0.0
22	22	1/2	1/2	4/4	2	1	I(4)			d	III		I(4)	I			4					M	1	0	-1, -2, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
22	22	5/8	5/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
22	22	3/4	3/4	4/4	2	1	V(4)			d	III		V(4)	V			4					M	1	0	0, -1, 1		0	0	0	2	0.0	0.0	0.25	0.0
22	22	7/8	7/8	4/4	2	1	V7			d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	5	0.0	0.0	0.625	0.0
23	23	0	0	4/4	2	1	I[V43			d	III	I	V43	V		43						Mm7	1	0	1, -2, 0, 4		0	1	1	4	0.2	0.25	0.5	0.3333333333333333
23	23	1/8	1/8	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
23	23	3/8	3/8	4/4	2	1	viio64			d	III		viio64	vii	o	64						o	1	0	-2, 4, 1		4	-2	0	3	0.0	0.0	0.375	0.0
23	23	1/2	1/2	4/4	2	1	I			d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	7	0.0	0.0	1.625	0.0
23	23	7/8	7/8	4/4	2	1	V7			d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
24	24	0	0	4/4	2	1	I(9)}	1		d	III		I(9)	I			9				}	M	1	0	-1, 3, 0	1	-1	-1	0	4	0.0	0.0	0.75	0.0
24	24	1/8	1/8	4/4	2	1	I	1		d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
24	24	3/8	3/8	4/4	2	1	V7	1		d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
24	24	1/2	1/2	4/4	2	1	I]	1		d	III		I	I					]			M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
25	24	0	0	4/4	2	1	I[I(9)	2		d	III	I	I(9)	I			9					M	1	0	-1, 3, 0	1	-1	-1	0	4	0.0	0.0	0.75	0.0
25	24	1/8	1/8	4/4	2	1	I	2		d	III		I	I								M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
25	24	3/8	3/8	4/4	2	1	V7	2		d	III		V7	V		7						Mm7	1	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
25	24	1/2	1/2	4/4	2	1	I]}{	2		d	III		I	I					]		}{	M	1	0	-1, 3, 0		-1	-1	0	7	0.0	0.0	1.0	0.0
25	24	3/4	3/4	4/4	2	1	viio64/V	2		d	III		viio64/V	vii	o	64		V				o	1	0	-1, 5, 2		5	-1	0	2	0.0	0.0	0.25	0.0
25	24	7/8	7/8	4/4	2	1	V6	2		d	III		V6	V		6						M	1	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
26	25	0	0	4/4	2	1	vi			d	III		vi	vi								m	1	0	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
26	25	1/8	1/8	4/4	2	1	IV/vi			d	III		IV/vi	IV				vi				M	1	0	1, 5, 2		1	1	0	3	0.0	0.0	0.5	0.0
26	25	1/4	1/4	4/4	2	1	#viio64/vi			d	III		#viio64/vi	#vii	o	64		vi				o	1	0	1, 7, 4		7	1	0	2	0.0	0.0	0.25	0.0
26	25	3/8	3/8	4/4	2	1	i6/vi			d	III		i6/vi	i		6		vi				m	1	0	-1, 3, 2		2	-1	0	3	0.0	0.0	0.375	0.0
26	25	1/2	1/2	4/4	2	1	iio/vi			d	III		iio/vi	ii	o			vi				o	1	0	4, 1, -2		4	4	2	4	0.3333333333333333	0.5	0.75	0.4
26	25	3/4	3/4	4/4	2	1	V(64)/vi			d	III		V(64)/vi	V			64	vi				M	1	0	3, 2, -1		3	3	0	2	0.0	0.0	0.5	0.0
26	25	7/8	7/8	4/4	2	1	V/vi			d	III		V/vi	V				vi				M	1	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
