rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	K072	37	37	1: 0	1: 4/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	36-84 (C2-C6)	60-84 (C4-C6)	Piano	36-67 (C2-G4)	Piano
MS3	K074	40	40	1: 3	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	40-83 (E2-B5)	59-83 (B3-B5)	Piano	40-64 (E2-E4)	Piano
MS3	K075	45	45	1: 1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	38-84 (D2-C6)	57-84 (A3-C6)	Piano	38-66 (D2-F#4)	Piano
MS3	K092	57	56	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	38-84 (D2-C6)	61-84 (C#4-C6)	Piano	38-65 (D2-F4)	Piano
MS3	K094	26	26	1: -1	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	41-86 (F2-D6)	60-86 (C4-D6)	Piano	41-60 (F2-C4)	Piano
MS3	K095	25	23	1: 0	1: 12/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	36-81 (C2-A5)	36-81 (C2-A5)	Piano	52-72 (E3-C5)	Piano
MS3	K096	211	211	1: 2	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	33-86 (A1-D6)	52-86 (E3-D6)	Piano	33-72 (A1-C5)	Piano
MS3	K097	247	247	1: -2	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	38-87 (D2-Eb6)	51-87 (Eb3-Eb6)	Piano	38-74 (D2-D5)	Piano
MS3	K099	86	86	1: -3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	36-84 (C2-C6)	55-84 (G3-C6)	Piano	36-84 (C2-C6)	Piano
MS3	K100	50	50	1: 0	1: 12/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	36-84 (C2-C6)	55-84 (G3-C6)	Piano	36-84 (C2-C6)	Piano
